Comment Date,Comment
"Jul 2, 2020, 10:21:22 PM",🥳🥳🥳
"Jul 25, 2020, 4:17:13 PM",👏 👏 
"Jul 25, 2020, 4:17:30 PM",[strava://athletes/52236600/15]Catriona Murphy thanks!!
"Jul 26, 2020, 7:53:31 PM",Omg amazing!!! 
"Nov 3, 2020, 9:24:36 AM",Astro hoodie on point 😤
"Nov 4, 2020, 6:09:35 PM",Stoneybatter vibes 🥳
"Nov 8, 2020, 11:44:54 PM",Oi oi
"Jan 2, 2021, 1:20:15 PM",Omg lol
"Jan 10, 2021, 12:43:52 PM",Wooooo!!!
"Jan 18, 2021, 5:24:20 PM",Awwwwe!!
"Jan 19, 2021, 1:03:30 PM",Didn’t know you did nature photography? 
"Jan 20, 2021, 8:58:10 PM",Omg that’s amazing!! 
"Jan 20, 2021, 8:58:26 PM",Absolutely. None as nice as yours though 😭
"Jan 21, 2021, 1:21:19 PM",Your pace omg????
"Jan 26, 2021, 3:00:27 PM",Speedy Gonzales over here
"Jan 26, 2021, 3:02:55 PM",Thanks for organising this Cat!! It was such a good motivation to get out this month 🙌 
"Jan 31, 2021, 3:29:17 PM",Thank you fitness legend!! 
"Mar 20, 2021, 11:38:26 AM",Hope there were no speed cameras in the phoinex park today!!! 🚨 🚨 
"Mar 20, 2021, 11:38:42 AM",Amazing!!!!
